imdb_title_id,imdb_name_id
tt0006333,nm0392709
tt0006333,nm0360132
tt0006333,nm0671728
tt0006333,nm0072911
tt0006864,nm0001273
tt0006864,nm0366008
tt0006864,nm0550615
tt0006864,nm0877548
tt0007361,nm0191818
tt0007361,nm0354878
tt0007361,nm0103958
tt0007361,nm0913338
tt0014341,nm0000036
tt0014341,nm0848231
tt0014341,nm0444172
tt0014341,nm0731247
tt0014429,nm0516001
tt0014429,nm0205192
tt0014429,nm0835128
tt0014429,nm0949927
tt0015324,nm0000036
tt0015324,nm0570230
tt0015324,nm0444172
tt0015324,nm0175068
tt0015881,nm0332998
tt0015881,nm0686032
tt0015881,nm0380965
tt0015881,nm0298202
tt0017136,nm0375609
tt0017136,nm0002154
tt0017136,nm0297054
tt0017136,nm0459030
tt0017765,nm0000036
tt0017765,nm0180465
tt0017765,nm0104238
tt0017765,nm0329467
tt0018455,nm0639563
tt0018455,nm0310980
tt0018455,nm0515272
tt0018455,nm0743017
tt0019421,nm0000036
tt0019421,nm0570297
tt0019421,nm0868458
tt0019421,nm0507827
tt0020629,nm0000817
tt0020629,nm0938464
tt0020629,nm0942046
tt0020629,nm0524803
tt0020640,nm0000050
tt0020640,nm0555617
tt0020640,nm0555597
tt0020640,nm2580347
tt0020641,nm0001256
tt0020641,nm0001948
tt0020641,nm0547975
tt0020641,nm0237597
tt0020641,nm0533006
tt0020642,nm0001256
tt0020642,nm0787762
tt0020642,nm0432721
tt0020642,nm0826554
tt0021079,nm0000064
tt0021079,nm0001195
tt0021079,nm0268225
tt0021079,nm0171873
tt0021746,nm0228715
tt0021746,nm0002050
tt0021746,nm0852347
tt0021746,nm0642042
tt0021749,nm0000122
tt0021749,nm0156039
tt0021749,nm5681967
tt0021749,nm0616729
tt0021814,nm0000509
tt0021814,nm0151377
tt0021814,nm0543115
tt0021814,nm0296859
tt0021884,nm0166972
tt0021884,nm0164883
tt0021884,nm0000472
tt0021884,nm0092900
tt0021910,nm0290215
tt0021910,nm0566948
tt0021910,nm0850896
tt0021910,nm0657874
tt0021910,nm0003062
tt0022002,nm0000817
tt0022002,nm0035877
tt0022002,nm0001318
tt0022002,nm0587534
tt0022835,nm0545298
tt0022835,nm0394244
tt0022835,nm0387556
tt0022835,nm0378555
tt0022835,nm0387561
tt0022913,nm0285922
tt0022913,nm0404885
tt0022913,nm0045754
tt0022913,nm0040374
tt0022958,nm0001256
tt0022958,nm0000858
tt0022958,nm0001076
tt0022958,nm0000891
tt0023027,nm0000050
tt0023027,nm0555597
tt0023027,nm0555617
tt0023027,nm2580347
tt0023042,nm0612847
tt0023042,nm0268225
tt0023042,nm0899091
tt0023042,nm0290271
tt0023622,nm0394244
tt0023622,nm0290215
tt0023622,nm0003339
tt0023622,nm0749476
tt0023753,nm0035159
tt0023753,nm0040374
tt0023753,nm0042552
tt0023753,nm0000011
tt0023969,nm0000050
tt0023969,nm0555617
tt0023969,nm0555597
tt0023969,nm0555688
tt0024025,nm0003123
tt0024025,nm0713270
tt0024025,nm0745712
tt0024025,nm0001677
tt0024034,nm0062828
tt0024034,nm0199841
tt0024034,nm0107575
tt0024034,nm0444528
tt0024216,nm0942039
tt0024216,nm0035877
tt0024216,nm0127677
tt0024216,nm0717046
tt0024264,nm0000031
tt0024264,nm0000910
tt0024264,nm0510134
tt0024264,nm0646829
tt0024601,nm0491048
tt0024601,nm0001316
tt0024601,nm0153713
tt0024601,nm0123994
tt0024852,nm0491048
tt0024852,nm0001316
tt0024852,nm0439852
tt0024852,nm0377766
tt0025316,nm0000022
tt0025316,nm0001055
tt0025316,nm0175369
tt0025316,nm0439850
tt0025316,nm0858977
tt0025586,nm0000012
tt0025586,nm0001366
tt0025586,nm0214168
tt0025586,nm0425512
tt0026056,nm0000031
tt0026056,nm0534045
tt0026056,nm0831872
tt0026056,nm0892867
tt0026071,nm0001256
tt0026071,nm0545298
tt0026071,nm0000861
tt0026071,nm0001577
tt0026174,nm0001224
tt0026174,nm0000014
tt0026174,nm0041172
tt0026174,nm0001651
tt0026421,nm0694090
tt0026421,nm0579663
tt0026421,nm0001784
tt0026421,nm0103567
tt0026676,nm0001211
tt0026676,nm0047720
tt0026676,nm0397427
tt0026676,nm0840316
tt0026752,nm0001452
tt0026752,nm0000022
tt0026752,nm0867144
tt0026752,nm0612743
tt0026942,nm0002050
tt0026942,nm0000001
tt0026942,nm0001677
tt0026942,nm0000068
tt0027125,nm0000001
tt0027125,nm0001677
tt0027125,nm0002143
tt0027125,nm0722424
tt0027260,nm0001635
tt0027260,nm0001485
tt0027260,nm0000071
tt0027260,nm0484748
tt0027300,nm0545298
tt0027300,nm0000014
tt0027300,nm0940579
tt0027300,nm0521937
tt0027630,nm0000001
tt0027630,nm0001677
tt0027630,nm0000068
tt0027630,nm0384948
tt0027652,nm0796662
tt0027652,nm0000075
tt0027652,nm0008496
tt0027652,nm0127677
tt0027884,nm0001318
tt0027884,nm0001635
tt0027884,nm0001485
tt0027884,nm0000075
tt0027893,nm0000861
tt0027893,nm0182537
tt0027893,nm0807580
tt0027893,nm0452128
tt0027948,nm0000031
tt0027948,nm0545298
tt0027948,nm0253158
tt0027948,nm0910498
tt0027977,nm0000122
tt0027977,nm0002104
tt0027977,nm0074788
tt0027977,nm0761866
tt0027977,nm0174682
tt0027977,nm0003424
tt0027977,nm0090008
tt0027977,nm0305087
tt0027996,nm0000011
tt0027996,nm0000795
tt0027996,nm0051628
tt0027996,nm0822034
tt0027996,nm0241523
tt0028010,nm0001635
tt0028010,nm0001479
tt0028010,nm0103567
tt0028010,nm0665850
tt0028212,nm0796662
tt0028212,nm0393028
tt0028212,nm0856469
tt0028212,nm0517058
tt0028216,nm0000022
tt0028216,nm0531776
tt0028216,nm0000075
tt0028216,nm0392442
tt0028231,nm0000024
tt0028231,nm0140914
tt0028231,nm0001870
tt0028231,nm0000048
tt0028333,nm0000001
tt0028333,nm0001677
tt0028333,nm0602005
tt0028333,nm0110813
tt0028510,nm0000078
tt0028510,nm0148575
tt0028510,nm0446593
tt0028510,nm0181825
tt0028691,nm0000075
tt0028691,nm0000861
tt0028691,nm0000859
tt0028691,nm0002048
tt0028988,nm0000073
tt0028988,nm0380965
tt0028988,nm0871546
tt0028988,nm0922818
tt0029081,nm0732079
tt0029081,nm0362567
tt0029081,nm0950019
tt0029081,nm0517058
tt0029162,nm0172903
tt0029162,nm0943553
tt0029162,nm0002143
tt0029162,nm0397397
tt0029284,nm0002050
tt0029284,nm0000026
tt0029284,nm0000068
tt0029284,nm0665850
tt0029453,nm0300064
tt0029453,nm0300388
tt0029453,nm0264692
tt0029453,nm0153457
tt0029546,nm0000001
tt0029546,nm0001677
tt0029546,nm0002143
tt0029546,nm0089314
tt0029583,nm0143314
tt0029583,nm0830968
tt0029583,nm0479164
tt0029583,nm0041165
tt0029808,nm0796662
tt0029808,nm0000020
tt0029808,nm0533692
tt0029808,nm0228863
tt0029808,nm0307326
tt0029870,nm0000010
tt0029870,nm0002285
tt0029870,nm0000007
tt0029870,nm0792130
tt0029942,nm0000075
tt0029942,nm0001682
tt0029942,nm0401434
tt0029942,nm0272059
tt0029947,nm0000031
tt0029947,nm0000026
tt0029947,nm0749476
tt0029947,nm0146185
tt0030241,nm0000031
tt0030241,nm0000026
tt0030241,nm0461615
tt0030241,nm0000817
tt0030287,nm0000012
tt0030287,nm0000020
tt0030287,nm0107575
tt0030287,nm0512267
tt0030637,nm0001366
tt0030637,nm0384908
tt0030637,nm0493347
tt0030637,nm0517919
tt0030947,nm0407970
tt0030947,nm0901673
tt0030947,nm0646271
tt0030947,nm0031072
tt0030993,nm0000795
tt0030993,nm0000071
tt0030993,nm0000859
tt0030993,nm0036427
tt0031047,nm0001635
tt0031047,nm0001485
tt0031047,nm0340706
tt0031047,nm0472603
tt0031060,nm0000050
tt0031060,nm0555597
tt0031060,nm0555617
tt0031060,nm0048653
tt0031210,nm0000012
tt0031210,nm0107575
tt0031210,nm0000007
tt0031210,nm0280242
tt0031225,nm0000017
tt0031225,nm0000071
tt0031225,nm0041681
tt0031225,nm0935415
tt0031381,nm0000022
tt0031381,nm0000046
tt0031381,nm0593775
tt0031381,nm0641966
tt0031385,nm0232196
tt0031385,nm0002093
tt0031385,nm0452953
tt0031385,nm0590055
tt0031397,nm0236756
tt0031397,nm0743595
tt0031397,nm0173416
tt0031397,nm0397175
tt0031398,nm0000026
tt0031398,nm0000021
tt0031398,nm0572142
tt0031398,nm0001195
tt0031505,nm0000058
tt0031505,nm0628579
tt0031505,nm0001452
tt0031505,nm0388166
tt0031593,nm0002050
tt0031593,nm0000964
tt0031593,nm0653642
tt0031593,nm0101350
tt0031679,nm0000071
tt0031679,nm0000795
tt0031679,nm0001647
tt0031679,nm0036427
tt0031725,nm0001256
tt0031725,nm0002048
tt0031725,nm0163257
tt0031725,nm0000509
tt0031742,nm0001033
tt0031742,nm0580565
tt0031742,nm0275897
tt0031742,nm0001948
tt0031762,nm0000026
tt0031762,nm0000795
tt0031762,nm0000028
tt0031762,nm0001932
tt0031971,nm0000078
tt0031971,nm0872456
tt0031971,nm0222596
tt0031971,nm0001017
tt0032145,nm0643353
tt0032145,nm0000059
tt0032145,nm0000057
tt0032145,nm0733460
tt0032194,nm0000012
tt0032194,nm0000964
tt0032194,nm0528705
tt0032194,nm0641966
tt0032410,nm0000747
tt0032410,nm0002107
tt0032410,nm0000544
tt0032410,nm0339307
tt0032455,nm0123553
tt0032475,nm0185568
tt0032475,nm0400490
tt0032475,nm0585481
tt0032475,nm0350374
tt0032484,nm0566948
tt0032484,nm0206478
tt0032484,nm0003339
tt0032484,nm0001695
tt0032536,nm0000050
tt0032536,nm0555597
tt0032536,nm0555617
tt0032536,nm0140865
tt0032599,nm0000026
tt0032599,nm0751426
tt0032599,nm0000897
tt0032599,nm0516876
tt0032617,nm0001635
tt0032617,nm0001485
tt0032617,nm0570451
tt0032617,nm0522926
tt0032881,nm0000034
tt0032881,nm0779549
tt0032881,nm0047810
tt0032881,nm0094135
tt0032910,nm0427934
tt0032910,nm0747759
tt0032910,nm0000305
tt0032910,nm0110893
tt0032976,nm0000059
tt0032976,nm0000021
tt0032976,nm0001695
tt0032976,nm0000752
tt0033149,nm0706368
tt0033149,nm0000007
tt0033149,nm0792130
tt0033149,nm0526946
tt0033467,nm0000080
tt0033467,nm0001072
tt0033467,nm0173827
tt0033467,nm0001547
tt0033553,nm0000075
tt0033553,nm0000006
tt0033553,nm0001805
tt0033553,nm0187981
tt0033563,nm0001359
tt0033563,nm0112395
tt0033563,nm0082884
tt0033563,nm0088285
tt0033712,nm0599910
tt0033712,nm0001647
tt0033712,nm0450810
tt0033712,nm0426089
tt0033717,nm0526946
tt0033717,nm0000007
tt0033717,nm0193232
tt0033717,nm0447913
tt0033852,nm0001635
tt0033852,nm0001485
tt0033852,nm0665850
tt0033852,nm0007217
tt0033891,nm0000011
tt0033891,nm0001766
tt0033891,nm0036427
tt0033891,nm0000974
tt0033922,nm0001479
tt0033922,nm0599910
tt0033922,nm0713270
tt0033922,nm0007217
tt0033922,nm0580882
tt0034012,nm0000026
tt0034012,nm0002050
tt0034012,nm0094135
tt0034012,nm0118000
tt0034167,nm0000011
tt0034167,nm0000974
tt0034167,nm0504125
tt0034167,nm0864869
tt0034172,nm0001635
tt0034172,nm0001485
tt0034172,nm0625167
tt0034172,nm0001656
tt0034240,nm0566948
tt0034240,nm0000043
tt0034240,nm0913094
tt0034240,nm0218131
tt0034248,nm0000026
tt0034248,nm0000021
tt0034248,nm0362567
tt0034248,nm0115558
tt0034409,nm0000001
tt0034409,nm0000028
tt0034409,nm0070361
tt0034409,nm0399192
tt0034492,nm0017013
tt0034492,nm0018755
tt0034492,nm1027883
tt0034492,nm0066951
tt0034583,nm0000007
tt0034583,nm0000006
tt0034583,nm0002134
tt0034583,nm0001647
tt0034587,nm0800386
tt0034587,nm0007218
tt0034587,nm0808949
tt0034587,nm0709905
tt0034742,nm0000078
tt0034742,nm0140865
tt0034742,nm0496819
tt0034742,nm0446769
tt0034862,nm0001078
tt0034862,nm0000001
tt0034862,nm0721851
tt0034862,nm0197713
tt0035093,nm0002093
tt0035093,nm0682074
tt0035093,nm0942863
tt0035093,nm0926599
tt0035140,nm0000012
tt0035140,nm0002134
tt0035140,nm0001647
tt0035140,nm0178066
tt0035238,nm0172903
tt0035238,nm0002093
tt0035238,nm0233856
tt0035238,nm0676688
tt0035262,nm0001078
tt0035262,nm0001362
tt0035262,nm0483787
tt0035262,nm0000063
tt0035279,nm0485509
tt0035279,nm0191950
tt0035279,nm0472603
tt0035279,nm0062667
tt0035317,nm0001651
tt0035317,nm0115558
tt0035317,nm0041172
tt0035317,nm0894524
tt0035415,nm0000964
