movielens_title_id,imdb_title_id,title,year,duration,description,num_ratings,ave_rating
1,tt0114709,Toy Story,1995,81,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,215,3.9209302325581397
2,tt0113497,Jumanji,1995,104,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",110,3.4318181818181817
3,tt0113228,Grumpier Old Men,1995,101,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",52,3.2596153846153846
4,tt0114885,Waiting to Exhale,1995,124,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",7,2.357142857142857
5,tt0113041,Father of the Bride Part II,1995,106,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",49,3.0714285714285716
6,tt0113277,Heat,1995,170,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,102,3.946078431372549
7,tt0114319,Sabrina,1995,127,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",54,3.185185185185185
8,tt0112302,Tom and Huck,1995,97,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,8,2.875
9,tt0114576,Sudden Death,1995,111,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,16,3.125
10,tt0113189,GoldenEye,1995,130,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",132,3.496212121212121
12,tt0112896,Dracula: Dead and Loving It,1995,88,,19,2.4210526315789473
13,tt0112453,Balto,1995,78,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",8,3.125
14,tt0113987,Nixon,1995,192,A biographical story of former U.S. President,18,3.8333333333333335
15,tt0112760,Cutthroat Island,1995,124,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,13,3.0
16,tt0112641,Casino,1995,178,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",82,3.926829268292683
17,tt0114388,Sense and Sensibility,1995,136,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",67,3.7761194029850746
18,tt0113101,Four Rooms,1995,98,Four interlocking tales that take place in a fading hotel on New Year's Eve.,20,3.7
19,tt0112281,Ace Ventura: When Nature Calls,1995,90,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",88,2.727272727272727
20,tt0113845,Money Train,1995,110,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",15,2.5
21,tt0113161,Get Shorty,1995,105,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",89,3.49438202247191
22,tt0112722,Copycat,1995,123,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,36,3.2222222222222223
